Run No.	Date	Sample ID	PO4_mean	PO4_mean_QF	PO4_sd	PO4_sd_QF	PO4_cd_CF	PO4_cd_CF_QF	PO4_mean_c	PO4_mean_c_QF	PO4_sd_c	PO4_sd_c_QF	NO2_mean	NO2_mean_QF	NO2_stdev	NO2_stdev_QF	NO2_cd_CF	NO2_cd_CF_QF	NO2_mean_c	NO2_mean_c_QF	NO2_sd_c	NO2_sd_c_QF	N3N2_mean	N3N2_mean_QF	N3N2_sd	N3N2_sd_QF	NO3+NO2_cd_CF	NO3+NO2_cd_CF_QF	N3N2_mean_c	N3N2_mean_c_QF	N3N2_sd_c	N3N2_sd_c_QF	Si_mean	Si_mean_QF	Si_stdev	Si_stdev_QF	Si(OH)4_cd_CF	Si(OH)4_cd_CF_QF	Si_mean_c	Si_mean_c_QF	Si_sd_c	Si_sd_c_QF	NH4_mean	NH4_mean_QF	NH4_stdev	NH4_stdev_QF	NH4_cd_CF	NH4_cd_CF_QF	NH4_mean_c	NH4_mean_c_QF	NH4_sd_c	NH4_sd_c_QF
3	03.11.19	???	0.124	2	0.000	2	0.913	2	0.113	2	0.000	2	0.043	2	0.001	2	0.432	2	0.018	2	0.000	2	0.073	2	0.004	2	0.938	2	0.068	2	0.003	2	0.483	2	0.002	2	1.180	2	0.569	2	0.003	2	0.360	2	0.000	2	0.597	2	0.215	2	0.000	2
3	03.11.19	???	0.176	2	0.003	2	0.913	2	0.161	2	0.003	2	0.052	2	0.001	2	0.432	2	0.022	2	0.001	2	0.087	2	0.001	2	0.938	2	0.082	2	0.001	2	1.144	2	0.004	2	1.180	2	1.349	2	0.004	2	0.443	2	0.001	2	0.597	2	0.265	2	0.001	2
3	03.11.19	???	0.093	2	0.001	2	0.913	2	0.085	2	0.001	2	0.020	2	0.001	2	0.432	2	0.008	2	0.000	2	0.003	2	0.001	2	0.938	2	0.002	2	0.001	2	0.243	2	0.001	2	1.180	2	0.286	2	0.001	2	0.309	2	0.000	2	0.597	2	0.185	2	0.000	2
3	03.11.19	???	0.143	2	0.001	2	0.913	2	0.130	2	0.001	2	0.043	2	0.001	2	0.432	2	0.019	2	0.001	2	0.107	2	0.004	2	0.938	2	0.100	2	0.003	2	0.671	2	0.003	2	1.180	2	0.792	2	0.003	2	0.542	2	0.006	2	0.597	2	0.323	2	0.004	2
3	03.11.19	???	0.089	2	0.005	2	0.913	2	0.081	2	0.005	2	0.024	2	0.002	2	0.432	2	0.010	2	0.001	2	0.003	2	0.001	2	0.938	2	0.003	2	0.001	2	0.489	2	0.001	2	1.180	2	0.576	2	0.001	2	0.408	2	0.003	2	0.597	2	0.244	 	0.002	2
3	03.11.19	???	0.193	2	0.002	2	0.913	2	0.176	2	0.002	2	0.035	2	0.001	2	0.432	2	0.015	2	0.000	2	0.097	2	0.002	2	0.938	2	0.091	2	0.002	2	1.016	2	0.011	2	1.180	2	1.198	2	0.013	2	0.451	2	0.001	2	0.597	2	0.269	2	0.001	2
3	03.11.19	???	0.093	2	0.001	2	0.913	2	0.084	2	0.001	2	0.036	2	0.001	2	0.432	2	0.016	2	0.001	2	0.111	2	0.001	2	0.938	2	0.104	2	0.001	2	0.395	2	0.005	2	1.180	2	0.466	2	0.006	2	0.615	2	0.002	2	0.597	2	0.367	2	0.001	2
3	03.11.19	???	0.165	2	0.002	2	0.913	2	0.150	2	0.002	2	0.034	2	0.001	2	0.432	2	0.014	2	0.000	2	0.040	2	0.003	2	0.938	2	0.038	2	0.003	2	0.517	2	0.000	2	1.180	2	0.610	2	0.000	2	0.523	2	0.001	2	0.597	2	0.312	2	0.000	2
3	03.11.19	???	0.053	2	0.001	2	0.913	2	0.048	2	0.001	2	0.023	2	0.005	2	0.432	2	0.010	2	0.002	2	-0.009	2	0.004	2	0.938	2	-0.009	2	0.004	2	0.136	2	0.001	2	1.180	2	0.160	2	0.001	2	0.243	2	0.001	2	0.597	2	0.145	2	0.001	2
3	03.11.19	???	0.118	2	0.001	2	0.913	2	0.108	2	0.001	2	0.063	2	0.001	2	0.432	2	0.027	2	0.000	2	0.114	2	0.001	2	0.938	2	0.107	2	0.001	2	0.614	2	0.001	2	1.180	2	0.725	2	0.002	2	0.391	2	0.001	2	0.597	2	0.234	2	0.001	2
3	03.11.19	???	0.101	2	0.004	2	0.913	2	0.092	2	0.004	2	0.036	2	0.000	2	0.432	2	0.016	2	0.000	2	0.083	2	0.000	2	0.938	2	0.078	2	0.000	2	0.392	2	0.002	2	1.180	2	0.462	2	0.003	2	0.368	2	0.000	2	0.597	2	0.220	2	0.000	2
3	03.11.19	???	0.059	2	0.003	2	0.913	2	0.054	2	0.003	2	0.018	2	0.002	2	0.432	2	0.008	2	0.001	2	0.094	2	0.001	2	0.938	2	0.088	2	0.001	2	0.304	2	0.001	2	1.180	2	0.358	2	0.001	2	0.251	2	0.013	2	0.597	2	0.150	2	0.008	2
3	03.11.19	???	0.067	2	0.000	2	0.913	2	0.061	2	0.000	2	0.020	2	0.000	2	0.432	2	0.009	2	0.000	2	0.033	2	0.002	2	0.938	2	0.030	2	0.002	2	0.364	2	0.001	2	1.180	2	0.429	2	0.001	2	0.219	2	0.001	2	0.597	2	0.131	2	0.001	2
3	03.11.19	???	0.025	2	0.001	2	0.913	2	0.023	2	0.001	2	0.004	2	0.001	2	0.432	2	0.002	2	0.001	2	0.739	2	0.001	2	0.938	2	0.693	2	0.001	2	-0.027	2	0.004	2	1.180	2	-0.027	2	0.004	2	0.829	2	0.017	2	0.597	2	0.495	2	0.010	2
3	03.11.19	???	0.242	2	0.004	2	0.913	2	0.221	2	0.004	2	0.109	2	0.000	2	0.432	2	0.047	2	0.000	2	0.225	2	0.000	2	0.938	2	0.211	2	0.000	2	0.897	2	0.006	2	1.180	2	1.059	2	0.007	2	0.456	2	0.031	2	0.597	2	0.272	2	0.019	2
3	03.11.19	???	0.111	2	0.000	2	0.913	2	0.101	2	0.000	2	0.037	2	0.002	2	0.432	2	0.016	2	0.001	2	0.148	2	0.002	2	0.938	2	0.138	2	0.002	2	0.459	2	0.001	2	1.180	2	0.542	2	0.002	2	0.295	2	0.005	2	0.597	2	0.176	2	0.003	2
3	03.11.19	???	0.104	2	0.001	2	0.913	2	0.095	2	0.001	2	0.030	2	0.001	2	0.432	2	0.013	2	0.000	2	0.181	2	0.001	2	0.938	2	0.170	2	0.001	2	0.335	2	0.003	2	1.180	2	0.395	2	0.003	2	0.432	2	0.011	2	0.597	2	0.258	2	0.007	2
3	03.11.19	???	0.077	2	0.001	2	0.913	2	0.070	2	0.001	2	0.029	2	0.001	2	0.432	2	0.012	2	0.000	2	0.048	2	0.001	2	0.938	2	0.045	2	0.001	2	0.368	2	0.000	2	1.180	2	0.434	2	0.000	2	0.200	2	0.003	2	0.597	2	0.119	2	0.002	2
